Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Israel,ISR,0,7.334,22.002,18.335,55.005,135.679,179.683,209.019,271.358,271.358,234.688,216.353,216.353,95.342,113.677,106.343,102.676,102.676,102.676,132.012,275.025,278.692,135.679,113.677,88.008,95.342,66.006,73.34,62.339,62.339,66.006,47.671,47.671,47.671,44.004,44.004,29.336,29.336,22.002,18.335,18.335,18.335,14.668,14.668,2181.865,3006.94,4257.387,5093.463,7022.305,7829.045,10087.917,9350.85,4818.438,13146.195,14411.31,15771.767,18037.973,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Italy,ITA,12090.099,12812.498,13410.219,13630.239,14315.968,14517.653,15852.441,17315.574,20238.173,22365.033,22090.008,25074.946,28972.967,32724.308,37095.372,42207.17,51048.307,50080.219,51994.393,50919.962,52284.086,50490.923,52845.137,51554.353,60978.543,62555.353,59680.425,66163.681,70468.739,84403.339,89324.453,94989.968,94161.226,96079.067,92841.106,102268.963,105506.924,108759.553,117094.644,127270.569,132701.396,133064.429,132166.014,145711.912,151205.078,161813.709,158473.072,159246.809,159221.14,146357.304,155873.169,146155.619,140523.107,131432.614,116133.89,..,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Jamaica,JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Japan,JPN,1602.479,2046.186,2662.242,3674.334,4008.031,3611.995,3703.67,3912.689,4231.718,4723.096,7682.365,8100.403,7990.393,10590.296,14172.955,17168.894,20700.215,24704.579,34532.139,40923.72,47971.694,48631.754,49786.859,53391.52,71755.856,77043.67,81319.392,82775.191,86277.176,92800.769,101047.852,106372.336,108825.559,111586.81,119038.154,121762.735,128675.03,134138.86,137164.135,145176.53,150310.33,152110.827,152268.508,163192.501,161476.345,161813.709,177361.789,190086.279,191597.083,184659.119,196694.213,228512.772,240104.159,240775.22,244196.531,229517.53,232916.839,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Jordan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.021,223.687,245.689,289.693,480.377,432.706,418.038,462.042,469.376,465.709,443.707,473.043,429.039,487.711,2739.249,3168.288,4587.417,5511.501,6241.234,7066.309,5240.143,1998.515,1510.804,1870.17,619.723,4008.031,6985.635,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34117.768,24169.197,18606.358,23105.767,17960.966,16123.799,16138.467,16182.471,20249.174,20810.225,22768.403,27443.828,31642.543,39907.961,42988.241,54117.586,62845.046,61011.546,66614.722,73904.718,63156.741,69357.638,71279.146,62889.05,65800.648,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Kiribati,KIR,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,"Korea, Dem. People's Rep.",PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,"Korea, Rep.",KOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.68,4338.061,5614.177,5427.16,6241.234,7220.323,9295.845,11851.744,15724.096,19064.733,24997.939,30531.442,28609.934,34836.5,38958.208,42925.902,48576.749,50402.915,57916.598,62698.366,65749.31,71370.821,72870.624,72632.269,88488.377,95250.325,103017.031,109060.247,98796.314,90116.525,94619.601,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Kuwait,KWT,1807.831,1884.838,2544.898,2918.932,3219.626,3446.98,4767.1,5203.473,6413.583,7161.651,3920.023,4052.035,4789.102,5361.154,5713.186,6087.22,6424.584,7029.639,7928.054,6596.933,13956.602,11529.048,8808.134,9673.546,10469.285,10403.279,13465.224,14458.981,14304.967,17366.912,13982.271,1437.464,7455.011,15196.048,14594.66,17825.287,17869.291,17806.952,17993.969,16468.497,20703.882,20256.508,18166.318,21169.591,22783.071,25547.989,26255.72,25558.99,26640.755,24121.526,28155.226,32885.656,34759.493,34594.478,34308.452,39097.554,41627.784,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3076.613,2317.544,1716.156,1730.824,2024.184,1664.818,1954.511,1151.438,1312.786,1342.122,1701.488,1404.461,1532.806,1415.462,1477.801,1474.134,1430.13,623.39,564.718,638.058,817.741,627.057,517.047,524.381,546.383,..,..,..,..,..
