Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Botswana,-22.328474,24.684866,BWA,CO2 emissions (kt),2810,2730,3300,3250,3080,3190,2920,3070,3680,3860,4030,3870,4030.00020980835,3920.00007629395,3970.00002861023,4280.00020980835,4090.00015258789,4320.00017166138,4389.9998664856,4190.00005722046,3369.99988555908,3880.00011444092,3410.00008583069,5420.00007629395,6989.99977111816,6949.99980926514,6630.00011444092,7329.99992370605,7309.99994277954,7250
Central African Republic,6.611111,20.939444,CAF,CO2 emissions (kt),150,140,150,160,160,160,170,170,230,240,240,250,250,230.000004172325,230.000004172325,219.999998807907,230.000004172325,239.999994635582,170.000001788139,170.000001788139,170.000001788139,189.999997615814,200.000002980232,119.999997317791,129.999995231628,189.999997615814,209.999993443489,219.999998807907,230.000004172325,239.999994635582
Canada,56.130366,-106.346771,CAN,CO2 emissions (kt),419490,413300,426370,422050,436760,448050,461700,476820,484790,494280,514220,506620,524349.975585938,544539.978027344,536419.982910156,549030.029296875,540530.029296875,571630.004882813,550469.970703125,521320.007324219,537010.009765625,549289.978027344,546210.021972656,555659.973144531,561679.992675781,558700.012207031,556830.017089844,568080.017089844,580090.026855469,580210.021972656
Switzerland,46.818188,8.227512,CHE,CO2 emissions (kt),43330,45670,45700,43450,42590,43440,44010,42750,44250,44530,43710,45150,43569.9996948242,44840.0001525879,45279.9987792969,45849.9984741211,45479.9995422363,43540.0009155273,44959.9990844727,43669.9981689453,45209.9990844727,41189.998626709,42520.0004577637,43529.9987792969,39790.0009155273,39090.0001525879,39669.9981689453,38700.0007629395,37479.9995422363,37380.0010681152
Chile,-35.675147,-71.542969,CHL,CO2 emissions (kt),30520,29300,30320,32320,35640,38970,44900,51290,52010,54430,50420,48430,49119.9989318848,50200.0007629395,54970.0012207031,55970.0012207031,57150.0015258789,64569.9996948242,67989.9978637695,65449.9969482422,69750,76470.0012207031,78410.0036621094,83000,76559.9975585938,82230.0033569336,86489.9978637695,87069.9996948242,86610.0006103516,91370.002746582
China,35.86166,104.195397,CHN,CO2 emissions (kt),2173360,2302180,2418180,2645410,2767670,3088620,3070510,3134110,3236280,3153660,3346530,3529080,3810060.05859375,4415910.15625,5124819.82421875,5824629.8828125,6437470.21484375,6993180.17578125,7199600.09765625,7719069.82421875,8474919.921875,9282549.8046875,9541870.1171875,9984570.3125,10006669.921875,9861099.609375,9874660.15625,10096009.765625,10502929.6875,10707219.7265625
Côte d'Ivoire,7.539989,-5.54708,CIV,CO2 emissions (kt),2710,2790,2770,2960,3090,3370,4050,4970,4990,6830,6490,6490,6840.00015258789,5309.99994277954,5469.99979019165,5880.00011444092,5699.99980926514,5659.99984741211,6469.99979019165,6030.00020980835,6349.99990463257,6119.99988555908,8039.99996185303,8689.9995803833,9199.99980926514,9810.0004196167,9590.00015258789,10560.0004196167,10189.9995803833,10829.9999237061
Cameroon,7.369722,12.354722,CMR,CO2 emissions (kt),2900,6970,6850,5770,4620,4680,4760,4860,5040,4790,5210,5160,5130.00011444092,5210.00003814697,5119.99988555908,5019.99998092651,5090.00015258789,6130.00011444092,6389.9998664856,7030.00020980835,7010.00022888184,6809.99994277954,6880.00011444092,7550.00019073486,8250,8460.00003814697,9079.99992370605,9170.00007629395,9590.00015258789,9430.00030517578
Congo [DRC],-4.038333,21.758664,COD,CO2 emissions (kt),3180,1740,1480,1900,2210,2110,2270,2270,2280,2090,1630,1570,1649.99997615814,2000,1940.00005722046,2210.00003814697,2279.99997138977,2470.00002861023,2549.99995231628,2500,2650.00009536743,3019.99998092651,2829.99992370605,3960.00003814697,5139.9998664856,3230.00001907349,2420.00007629395,2849.99990463257,3119.99988555908,3210.00003814697
Congo [Republic],-0.228021,15.827659,COG,CO2 emissions (kt),3200,3190,3130,2690,2060,2640,3170,3270,3880,3960,4350,4240,2759.99999046326,3230.00001907349,3519.99998092651,4309.99994277954,4780.00020980835,4150.00009536743,4360.0001335144,4840.00015258789,5420.00007629395,5380.00011444092,5260.00022888184,5329.99992370605,5190.00005722046,5659.99984741211,5500,5409.99984741211,6489.99977111816,7260.00022888184
